Player,Pos,School,Ht,Wt,40yd,Vertical,Bench,Broad Jump,3Cone,Shuttle,Drafted (tm/rnd/yr),Experience
Kendall Wright,WR,Baylor,70.0,196.0,4.49,38.5,,121.0,6.93,4.18,20,7
Devon Wylie,WR,Fresno State,69.0,187.0,4.36,39.0,17.0,123.0,,,107,2
Desmond Wynn,OG,Rutgers,77.0,303.0,4.98,32.5,28.0,,,,0,0
Kevin Zeitler,OG,Wisconsin,76.0,314.0,5.32,29.0,32.0,101.0,7.77,4.61,27,11
Markus Zusevics,OT,Iowa,77.0,303.0,5.08,,,,,,0,2
Oday Aboushi,OT,Virginia,77.0,308.0,5.41,23.5,17.0,100.0,7.92,4.84,141,10
Johnny Adams,CB,Michigan State,70.0,185.0,4.48,,16.0,,,,0,0
Robert Alford,CB,SE Louisiana,70.0,188.0,4.39,40.0,17.0,132.0,6.89,4.23,60,9
Keenan Allen,WR,California,74.0,206.0,4.58,,,,,,76,10
Ryan Allen,P,Louisiana Tech,73.0,229.0,4.98,,,,,,0,8
Zach Allen,OG,North Carolina State,74.0,332.0,5.43,,32.0,,,,0,4
Kiko Alonso,ILB,Oregon,75.0,238.0,4.74,,,,,,46,8
David Amerson,CB,North Carolina State,73.0,205.0,4.44,35.5,15.0,127.0,,,51,6
C.J. Anderson,RB,California,68.0,224.0,4.6,32.0,17.0,119.0,7.15,4.12,0,7
Ziggy Ansah,DE,BYU,77.0,271.0,4.56,34.5,21.0,118.0,7.11,4.26,5,-1
Marc Anthony,CB,California,71.0,196.0,4.63,35.0,12.0,118.0,6.74,4.07,247,0
Terron Armstead,OT,Ark-Pine Bluff,77.0,306.0,4.71,34.5,31.0,112.0,7.62,4.72,75,10
Tavon Austin,WR,West Virginia,68.0,174.0,4.34,32.0,14.0,120.0,,4.01,8,10
Jeff Baca,OG,UCLA,75.0,302.0,5.03,26.5,,100.0,7.26,4.44,196,2
Alvin Bailey,OG,Arkansas,75.0,312.0,4.95,,27.0,,,,0,4
Stedman Bailey,WR,West Virginia,70.0,193.0,4.52,34.5,11.0,117.0,6.81,4.09,92,4
David Bakhtiari,OT,Colorado,76.0,299.0,5.18,25.5,28.0,101.0,7.7,4.74,109,10
Montee Ball,RB,Wisconsin,70.0,214.0,4.66,32.0,15.0,118.0,6.88,4.4,58,3
Johnthan Banks,CB,Mississippi State,74.0,185.0,4.61,34.0,10.0,125.0,6.97,4.27,43,5
Chris Barker,OG,Nevada,75.0,305.0,5.25,27.5,29.0,99.0,8.09,4.77,0,2
Matt Barkley,QB,USC,74.0,227.0,4.91,,,,,,98,10
Kenjon Barner,RB,Oregon,69.0,196.0,4.52,35.5,20.0,122.0,6.87,4.2,182,8
T.J. Barnes,DT,Georgia Tech,78.0,369.0,5.3,22.0,25.0,97.0,8.26,4.96,0,3
Sam Barrington,ILB,South Florida,73.0,246.0,4.91,32.5,22.0,117.0,,,232,4
David Bass,DE,Missouri Western State,76.0,262.0,4.84,30.5,20.0,111.0,7.07,4.33,233,5
Steve Beauharnais,ILB,Rutgers,73.0,240.0,4.84,33.0,19.0,118.0,6.99,4.2,235,2
Nick Becton,OT,Virginia Tech,77.0,323.0,5.2,29.5,19.0,109.0,7.77,4.57,0,4
Le'Veon Bell,RB,Michigan State,73.0,230.0,4.6,31.5,24.0,118.0,6.75,4.24,48,8
Giovani Bernard,RB,North Carolina,68.0,202.0,4.53,33.5,19.0,122.0,6.91,4.12,37,10
Tommy Bohanon,FB,Wake Forest,73.0,246.0,4.88,35.0,36.0,119.0,7.27,4.42,215,6
Travis Bond,OG,North Carolina,78.0,329.0,5.27,22.5,22.0,98.0,7.85,4.96,214,2
Alan Bonner,WR,Jacksonville State,70.0,193.0,4.59,33.0,14.0,117.0,,4.15,195,3
Zach Boren,FB,Ohio State,71.0,238.0,5.0,32.0,25.0,109.0,7.28,4.44,0,0
Jon Bostic,OLB,Florida,73.0,245.0,4.59,32.5,22.0,118.0,6.99,4.24,50,10
Josh Boyce,WR,TCU,71.0,206.0,4.38,34.0,22.0,131.0,6.68,4.1,102,3
Josh Boyd,DT,Mississippi State,75.0,310.0,5.14,26.5,32.0,104.0,7.16,4.64,167,3
John Boyett,S,Oregon,70.0,204.0,4.64,,27.0,,,,192,1
Tyler Bray,QB,Tennessee,78.0,232.0,5.05,,,100.0,7.2,4.51,0,6
Dylan Breeding,P,Arkansas,73.0,213.0,4.74,29.0,11.0,110.0,,,0,-1
Arthur Brown,OLB,Kansas State,72.0,241.0,4.62,,,116.0,,,56,4
Braden Brown,OT,BYU,77.0,310.0,5.2,28.0,26.0,100.0,7.43,4.7,0,0
Marlon Brown,WR,Georgia,76.0,213.0,4.63,,,,,,0,4
Armonty Bryant,DE,East Central (OK),76.0,263.0,4.86,31.5,,118.0,7.32,5.0,217,5
Michael Buchanan,DE,Illinois,77.0,255.0,4.78,33.0,22.0,113.0,6.91,4.44,226,2
Rex Burkhead,RB,Nebraska,70.0,214.0,4.73,39.0,21.0,125.0,6.85,4.09,190,10
Adrian Bushell,CB,Louisville,69.0,186.0,4.58,33.0,17.0,116.0,6.92,4.25,0,-1
Colby Cameron,QB,Louisiana Tech,74.0,212.0,4.78,30.5,,112.0,6.98,4.28,0,-1
Anthony Cantele,K,Kansas State,70.0,180.0,4.76,,,,,,0,-1
Tank Carradine,DE,Florida State,76.0,276.0,4.9,,28.0,,,,40,6
Braxston Cave,C,Notre Dame,75.0,303.0,5.33,25.5,,98.0,7.81,4.71,0,1
Emmett Cleary,OT,Boston Col.,79.0,316.0,5.21,28.5,24.0,108.0,7.81,4.7,0,3
Jamie Collins,OLB,Southern Miss,75.0,250.0,4.64,41.5,19.0,139.0,7.1,4.32,52,10
Sanders Commings,CB,Georgia,72.0,216.0,4.41,34.5,,117.0,7.1,4.3,134,3
Jonathan Cooper,OG,North Carolina,74.0,311.0,5.07,27.0,35.0,108.0,7.78,4.84,7,7
Bobby Cowan,P,Idaho,76.0,219.0,5.13,,,,,,0,-1
Justice Cunningham,TE,South Carolina,75.0,258.0,4.94,31.5,,116.0,7.12,4.45,254,1
Jonathan Cyprien,S,Florida International,72.0,217.0,4.64,38.5,,,,,33,-1
Knile Davis,RB,Arkansas,71.0,227.0,4.37,33.5,31.0,121.0,6.96,4.38,96,4
Marcus Davis,WR,Virginia Tech,75.0,233.0,4.56,39.5,19.0,120.0,7.15,,0,-1
Will Davis,CB,Utah State,71.0,186.0,4.51,35.5,16.0,127.0,6.52,4.02,93,4
Everett Dawkins,DT,Florida State,74.0,292.0,5.06,30.0,23.0,103.0,7.61,4.88,229,0
Jordan Devey,OT,Memphis,79.0,317.0,5.25,24.0,21.0,98.0,7.91,4.77,0,7
Quinton Dial,DT,Alabama,77.0,318.0,5.29,,,,,,157,5
