Player,Pos,School,Ht,Wt,40yd,Vertical,Bench,Broad Jump,3Cone,Shuttle,Drafted (tm/rnd/yr),Experience
Jerry DeLoach,DT,California,75,314,4.99,31.5,19,101,7.4,4.57,0,5
Mike Derouselle,DT,Houston,74,314,5.28,27.5,27,96,7.67,4.8,0,-1
Na'il Diggs,OLB,Ohio State,76,231,4.66,,,,,,98,12
Reuben Droughns,RB,Oregon,71,215,4.66,30,13,115,7.34,4.41,81,9
Ron Dugans,WR,Florida State,73,206,4.58,,,117,,,66,3
Deon Dyer,FB,North Carolina,71,260,4.99,28,,104,7.88,4.81,117,3
Chris Edwards,OLB,Georgia Tech,77,226,4.65,,,,,,0,1
Mario Edwards,CB,Florida State,72,191,4.46,,,120,,,180,8
Shaun Ellis,DE,Tennessee,76,280,4.85,,,,,,12,12
John Engelberger,DE,Virginia Tech,76,260,4.73,34,24,115,6.95,4.28,35,9
Dwan Epps,ILB,Texas Southern,73,242,4.68,34.5,8,,,,0,0
Matt Farmer,WR,Air Force,72,190,4.51,33,,108,6.63,3.94,0,-1
Danny Farmer,WR,UCLA,75,217,4.58,,,,,,103,3
Kevin Feterik,QB,BYU,71,207,4.92,31,,106,7.3,4.45,0,-1
Chafie Fields,WR,Penn State,73,196,4.43,,,,,,0,0
Aaron Fields,DE,Troy,76,243,4.76,34,22,115,7.51,4.56,0,0
Zeron Flemister,TE,Iowa,76,249,4.72,37,14,116,6.92,4.16,0,5
Erik Flowers,DE,Arizona State,76,271,4.75,33,24,114,7.21,4.15,26,6
Derrick Foster,RB,Texas A&M-Kingsville,71,201,4.43,34.5,19,117,6.84,4.36,0,1
Larry Foster,WR,LSU,70,198,4.55,37,,121,6.88,4.06,0,4
John Frank,DE,Utah,76,280,4.78,37,32,117,7.07,4.27,178,5
Bubba Franks,TE,Miami (FL),78,265,4.85,,,,,,14,9
Todd Franz,S,Tulsa,73,199,4.55,,14,,,,145,4
Arturo Freeman,S,South Carolina,72,188,4.5,35.5,14,124,6.91,4.38,152,6
Byron Frisch,DE,BYU,76,281,4.73,34.5,31,114,7.2,4.41,93,3
Mondriel Fulcher,FB,Miami (FL),75,253,4.85,27,18,116,7.46,4.52,227,3
Trent Gamble,S,Wyoming,69,186,4.56,37,21,124,6.6,3.9,0,4
Jason Gavadza,TE,Kent State,75,249,4.62,32.5,22,113,7.15,4.3,204,1
Trevor Gaylor,WR,Miami (OH),75,199,4.56,37.5,,121,7.03,4.29,111,3
Kabeer Gbaja-Biamila,OLB,San Diego State,76,243,4.65,34,21,120,6.9,4.28,149,9
Sherrod Gideon,WR,Southern Miss,71,173,4.66,,,,,,200,1
Ian Gold,OLB,Michigan,73,221,4.56,33,21,115,6.97,4.19,40,8
Dwayne Goodrich,CB,Tennessee,71,195,4.45,,,,,,49,3
Lamar Grant,CB,Duke,71,188,4.62,32,16,117,7.3,4.3,0,-1
Deon Grant,S,Tennessee,74,209,4.5,,15,,,,57,12
Ernest Grant,DT,Ark-Pine Bluff,77,316,5.31,29.5,24,98,8,5.03,167,3
Jonathan Gray,OT,Texas Tech,76,338,5.85,23,20,94,,,0,-1
Brian Gray,CB,BYU,73,214,4.94,33.5,19,116,7.38,4.24,0,1
Barrett Green,OLB,West Virginia,72,233,4.56,36,22,120,,,50,6
Mike Green,S,NW State (LA),72,189,4.53,38.5,,118,,4.2,213,3
Mike Green,FB,Houston,72,253,4.78,28.5,25,108,7.08,4.34,213,3
Damian Gregory,DT,Illinois State,74,307,4.87,30,27,105,7.37,4.6,0,4
Cornelius Griffin,DE,Alabama,75,297,4.9,31,30,111,7.63,4.62,42,10
Clark Haggans,OLB,Colorado State,75,253,4.97,31.5,20,109,7.12,4.21,137,13
Ricky Hall,WR,Virginia Tech,74,206,4.52,,,,,,0,-1
Dante' Hall,RB,Texas A&M,68,191,4.44,38,18,123,6.62,3.82,0,-1
James Hall,DE,Michigan,74,271,5.03,32,,111,7.86,4.51,0,12
Troy Hambrick,RB,South Carolina,72,237,4.66,34.5,21,118,7.48,4.44,0,5
Joey Hamilton,WR,Jacksonville State,73,201,4.54,36,,116,7.57,4.41,0,-1
Joe Hamilton,QB,Georgia Tech,70,192,4.81,,,106,,,234,4
Thomas Hamner,RB,Minnesota,72,197,4.5,32,17,125,6.97,4.07,171,0
D'Andre Hardeman,FB,Texas A&M,70,238,4.81,30,,109,7.27,4.36,0,-1
